WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2064,SMTHFLD_M,  Mon Mar 25 05:00:07 CDT 2019,  Mon Mar 25 05:05:47 CDT 2019,00:05:40,5,340,0,0,0,0,0
2065,SMTHFLD_M,  Mon Apr  1 08:28:25 CDT 2019,  Mon Apr  1 08:32:46 CDT 2019,00:04:21,4,261,0,0,0,0,0
2066,SMTHFLD_M,  Mon Apr  8 07:39:50 CDT 2019,  Mon Apr  8 07:43:57 CDT 2019,00:04:07,4,247,0,0,0,0,0
2067,SMTHFLD_M,  Mon Apr 15 07:33:19 CDT 2019,  Mon Apr 15 07:37:10 CDT 2019,00:03:51,3,231,0,0,0,0,0
2068,SMTHFLD_M,  Mon Apr 22 13:38:35 CDT 2019,  Mon Apr 22 13:42:57 CDT 2019,00:04:22,4,262,0,0,0,0,0
2069,SMTHFLD_M,  Mon Apr 29 09:51:49 CDT 2019,  Mon Apr 29 09:55:53 CDT 2019,00:04:04,4,244,0,0,0,0,0
2070,SMTHFLD_M,  Mon May  6 06:45:30 CDT 2019,  Mon May  6 06:49:34 CDT 2019,00:04:04,4,244,0,0,0,0,0
2071,SMTHFLD_M,  Mon May 13 22:00:53 CDT 2019,  Mon May 13 22:04:24 CDT 2019,00:03:31,3,211,0,0,0,0,0
2072,SMTHFLD_M,  Mon May 20 07:10:20 CDT 2019,  Mon May 20 07:14:11 CDT 2019,00:03:51,3,231,0,0,0,0,0
2073,SMTHFLD_M,  Mon May 27 08:18:06 CDT 2019,  Mon May 27 08:22:18 CDT 2019,00:04:12,4,252,0,0,0,0,0
2074,SMTHFLD_M,  Mon Jun  3 05:26:37 CDT 2019,  Mon Jun  3 05:30:55 CDT 2019,00:04:18,4,258,0,0,0,0,0
2075,SMTHFLD_M,  Mon Jun 10 03:53:19 CDT 2019,  Mon Jun 10 03:57:26 CDT 2019,00:04:07,4,247,0,0,0,0,0
